Date,Open,High,Low,Close,Volume
04/02/2025,"91.82","94.88","91.78","94.14","1,201,854"
04/01/2025,"92.13","93.56","91.50","93.18","831,766"
03/31/2025,"90.44","92.71","89.73","92.53","1,161,989"
03/28/2025,"94.07","94.26","91.91","92.19","1,073,734"
03/27/2025,"94.63","95.68","94.12","94.41","841,053"
03/26/2025,"97.09","97.24","94.80","95.23","916,305"
03/25/2025,"97.15","97.34","96.63","97.27","963,626"
03/24/2025,"95.65","97.03","95.50","96.79","1,067,566"
03/21/2025,"93.66","94.46","93.33","94.22","1,060,475"
03/20/2025,"93.88","95.37","93.80","94.38","768,389"
03/19/2025,"93.59","95.21","93.20","94.49","938,466"
03/18/2025,"94.07","94.15","92.99","93.30","1,019,826"
03/17/2025,"93.76","95.03","93.66","94.56","1,183,094"
03/14/2025,"92.76","93.97","92.51","93.86","1,005,302"
03/13/2025,"92.97","92.97","91.34","91.76","796,304"
03/12/2025,"93.52","93.88","91.98","92.94","1,030,072"
03/11/2025,"91.91","93.27","91.24","91.98","1,287,488"
03/10/2025,"92.98","93.38","91.06","92.11","2,167,023"
03/07/2025,"94.42","95.07","92.34","94.54","1,842,241"
03/06/2025,"95.64","96.30","94.15","94.69","1,671,708"
03/05/2025,"96.38","97.64","95.70","97.22","1,223,556"
03/04/2025,"96.78","97.69","94.87","96.10","1,991,253"
03/03/2025,"100.10","100.28","96.96","97.66","1,447,067"
02/28/2025,"98.07","99.93","97.62","99.80","1,095,158"
02/27/2025,"100.70","100.83","97.93","98.00","1,651,234"
02/26/2025,"99.50","100.77","99.31","99.95","1,000,320"
02/25/2025,"99.16","99.44","97.63","98.94","1,198,722"
02/24/2025,"100.43","100.64","98.93","99.13","1,096,076"
02/21/2025,"102.07","102.07","99.67","99.91","1,414,576"
02/20/2025,"102.67","102.67","101.28","101.91","1,468,648"
02/19/2025,"102.66","103.09","102.38","103.09","995,308"
02/18/2025,"103.39","103.44","102.58","103.07","924,790"
02/14/2025,"103.23","103.42","102.85","103.06","786,012"
02/13/2025,"102.51","103.27","102.20","103.26","951,790"
02/12/2025,"101.70","102.58","101.55","102.40","1,452,959"
02/11/2025,"102.38","102.96","102.11","102.89","4,344,177"
02/10/2025,"102.44","102.91","102.23","102.79","929,040"
02/07/2025,"102.90","103.09","101.86","102.03","1,492,097"
02/06/2025,"102.48","102.87","102.00","102.87","1,253,281"
02/05/2025,"101.19","102.03","101.09","101.92","1,280,190"
02/04/2025,"100.11","100.76","99.84","100.62","1,096,596"
02/03/2025,"98.31","100.32","98.16","99.99","2,003,775"
01/31/2025,"100.81","101.55","99.97","100.04","1,687,139"
01/30/2025,"100.26","100.83","99.74","100.68","747,546"
01/29/2025,"99.31","99.76","98.58","99.10","602,160"
01/28/2025,"98.64","99.48","97.84","99.41","824,573"
01/27/2025,"97.50","98.35","97.21","98.19","1,847,592"
01/24/2025,"101.54","101.86","100.98","101.33","948,486"
01/23/2025,"100.67","101.44","100.36","101.44","986,152"
01/22/2025,"100.79","101.03","100.46","100.74","1,106,838"
01/21/2025,"99.49","100.19","99.23","100.06","1,650,619"
01/17/2025,"98.49","98.79","98.06","98.65","743,829"
01/16/2025,"97.81","98.06","97.45","97.57","647,839"
01/15/2025,"97.03","97.40","96.53","97.27","826,518"
01/14/2025,"95.88","95.90","94.74","95.50","743,564"
01/13/2025,"94.50","95.53","94.39","95.43","665,680"
01/10/2025,"96.22","96.30","94.97","95.58","1,045,991"
01/08/2025,"96.59","96.84","95.76","96.64","712,979"
01/07/2025,"98.05","98.05","96.00","96.25","1,007,426"
01/06/2025,"97.61","98.15","97.25","97.57","1,095,033"
01/03/2025,"96.21","97.03","96.06","96.89","754,902"
01/02/2025,"95.80","96.48","94.79","95.55","872,827"
12/31/2024,"95.73","95.79","94.78","95.01","570,279"
12/30/2024,"95.31","96.16","94.75","95.50","561,886"
12/27/2024,"97.03","97.03","95.77","96.59","740,408"
12/26/2024,"97.24","97.80","96.94","97.61","487,031"
12/24/2024,"96.80","97.54","96.68","97.54","557,049"
12/23/2024,"95.56","96.48","95.05","96.41","656,998"
12/20/2024,"94.41","96.63","94.30","95.58","580,151"
12/19/2024,"95.49","95.65","94.44","94.55","650,684"
12/18/2024,"97.71","97.84","94.28","94.31","893,479"
12/17/2024,"97.90","97.90","96.97","97.48","756,234"
12/16/2024,"98.31","98.73","98.15","98.55","557,751"
12/13/2024,"98.00","98.34","97.35","97.77","513,094"
12/12/2024,"97.28","97.28","96.71","96.71","722,144"
12/11/2024,"97.12","97.57","96.94","97.49","532,816"
12/10/2024,"97.20","97.24","96.22","96.37","5,200,632"
12/09/2024,"98.52","98.53","96.97","97.09","2,861,038"
12/06/2024,"98.26","98.76","98.19","98.70","613,791"
12/05/2024,"98.22","98.47","97.95","98.14","792,343"
12/04/2024,"97.80","98.27","97.73","98.21","604,335"
12/03/2024,"96.91","97.33","96.81","97.28","595,313"
12/02/2024,"97.11","97.20","96.65","96.77","736,475"
11/29/2024,"96.40","97.06","96.40","96.83","328,883"
11/27/2024,"96.55","96.67","95.75","96.11","629,879"
11/26/2024,"95.82","96.75","95.82","96.69","632,493"
11/25/2024,"96.00","96.24","95.11","95.52","945,879"
11/22/2024,"95.58","95.84","95.29","95.58","508,167"
11/21/2024,"95.27","95.80","94.39","95.52","732,111"
11/20/2024,"94.69","94.79","93.68","94.77","580,766"
11/19/2024,"93.59","94.63","93.42","94.62","613,557"
11/18/2024,"93.92","94.23","93.35","93.95","668,116"
11/15/2024,"94.69","94.87","93.54","93.90","823,027"
11/14/2024,"96.59","96.59","95.38","95.45","643,059"
11/13/2024,"96.65","96.98","96.40","96.57","893,754"
11/12/2024,"96.91","96.96","96.04","96.55","1,204,191"
11/11/2024,"97.36","97.36","96.52","96.74","4,658,456"
11/08/2024,"96.26","97.22","96.26","96.89","3,212,805"
11/07/2024,"95.76","96.17","95.62","96.04","716,421"
11/06/2024,"95.00","95.45","94.04","95.45","1,101,774"
11/05/2024,"91.29","92.49","91.28","92.49","466,914"
11/04/2024,"91.43","91.57","90.78","90.99","512,349"
11/01/2024,"91.68","92.38","91.36","91.42","1,285,145"
10/31/2024,"92.06","92.06","90.80","90.82","822,080"
10/30/2024,"92.65","93.24","92.09","92.74","854,179"
10/29/2024,"92.92","93.58","92.67","93.38","731,906"
10/28/2024,"93.19","93.28","92.90","93.02","336,368"
10/25/2024,"93.40","93.62","92.56","92.69","393,142"
10/24/2024,"93.16","93.16","92.47","92.93","343,811"
10/23/2024,"93.45","93.69","92.45","92.99","448,392"
10/22/2024,"93.66","94.09","93.42","93.88","375,294"
10/21/2024,"94.05","94.28","93.55","94.16","798,176"
10/18/2024,"94.19","94.28","93.79","94.07","540,918"
10/17/2024,"94.50","94.69","93.99","94.05","719,081"
10/16/2024,"93.44","93.79","93.01","93.67","386,274"
10/15/2024,"94.30","94.38","92.95","93.21","666,517"
10/14/2024,"94.07","94.36","93.94","94.22","591,136"
10/11/2024,"92.59","93.70","92.59","93.67","446,131"
10/10/2024,"92.86","92.98","92.42","92.70","324,378"
10/09/2024,"92.14","93.01","91.97","92.94","681,984"
10/08/2024,"91.48","92.22","91.40","92.14","392,221"
10/07/2024,"91.43","91.62","90.79","91.04","649,251"
10/04/2024,"91.13","91.73","90.61","91.69","505,907"
10/03/2024,"90.19","90.68","89.97","90.31","325,462"
10/02/2024,"89.89","90.53","89.58","90.32","354,638"
10/01/2024,"90.58","90.70","89.50","89.97","624,149"
09/30/2024,"89.99","90.71","89.68","90.64","479,255"
09/27/2024,"91.05","91.05","90.15","90.34","344,612"
09/26/2024,"91.81","91.96","90.72","91.06","622,514"
09/25/2024,"91.32","91.47","91.05","91.25","796,842"
09/24/2024,"90.98","91.16","90.27","91.16","351,262"
09/23/2024,"90.78","90.97","90.52","90.94","410,727"
09/20/2024,"90.51","90.84","89.93","90.53","470,435"
09/19/2024,"90.32","90.89","89.88","90.59","656,289"
09/18/2024,"88.86","89.63","88.27","88.35","331,157"
09/17/2024,"89.30","89.36","88.18","88.65","296,693"
09/16/2024,"88.67","88.80","88.09","88.79","302,148"
09/13/2024,"88.85","89.33","88.63","89.08","373,006"
09/12/2024,"87.89","89.00","87.59","88.80","522,403"
09/11/2024,"85.88","87.90","84.50","87.73","416,458"
09/10/2024,"85.40","85.77","84.54","85.66","365,428"
09/09/2024,"84.77","85.18","84.16","85.11","526,409"
09/06/2024,"85.86","85.99","83.63","83.92","374,008"
09/05/2024,"85.79","86.79","85.46","85.86","1,226,622"
09/04/2024,"85.79","86.72","85.50","86.13","474,961"
09/03/2024,"88.70","88.72","85.95","86.45","2,640,120"
08/30/2024,"88.68","89.27","87.99","89.25","423,791"
08/29/2024,"88.60","89.34","87.85","88.02","549,345"
08/28/2024,"89.13","89.21","87.78","88.48","309,873"
08/27/2024,"88.51","89.35","88.21","89.22","221,427"
08/26/2024,"89.66","89.72","88.47","88.86","487,043"
08/23/2024,"89.34","90.03","88.72","89.61","502,316"
08/22/2024,"90.31","90.50","88.49","88.76","602,848"
08/21/2024,"89.50","90.12","89.19","89.83","277,904"
08/20/2024,"89.38","89.89","89.01","89.38","1,089,364"
08/19/2024,"88.30","89.42","87.95","89.39","14,305,480"
08/16/2024,"88.05","88.60","87.87","88.39","410,388"
08/15/2024,"87.56","88.52","87.27","88.52","822,875"
08/14/2024,"86.22","86.81","85.68","86.50","738,285"
